plotcode,Araneae,Carabidae,Chilopoda,Cicadina,Coleoptera_rest,Diplopoda,Heteroptera,Isopoda,Opiliones,Orthoptera,Staphylinidae
B1A01,368,272,2,64,351,53,64,215,28,4,8
B1A02,250,166,1,39,67,4,10,26,9,17,6
B1A03,220,140,3,70,45,28,39,94,3,9,6
B1A04,220,268,14,39,523,14,15,314,22,6,8
B1A05,184,431,1,22,224,3,14,42,8,2,5
B1A06,252,176,1,64,73,30,16,19,14,6,17
B1A07,230,269,0,26,38,26,10,24,8,6,9
B1A08,170,338,2,13,51,10,7,105,16,6,8
B1A11,270,263,1,29,44,13,18,50,23,5,14
B1A12,139,340,6,26,129,41,9,103,0,4,5
B1A13,120,194,4,11,52,18,16,59,6,3,15
B1A14,347,236,8,41,71,5,45,84,2,17,15
B1A15,120,288,0,30,77,0,8,27,7,4,8
B1A16,291,242,4,77,317,6,49,52,5,14,8
B1A17,146,202,2,36,48,10,46,15,3,4,7
B1A18,320,378,0,36,55,24,10,27,1,12,12
B1A19,183,125,2,78,41,24,11,125,4,15,3
B1A20,393,299,4,57,148,35,46,205,73,4,12
B1A21,384,162,2,30,74,7,10,34,17,4,8
B1A22,376,222,2,74,132,34,58,111,23,6,11
B2A01,231,192,3,38,80,17,8,101,14,12,17
B2A02,269,131,3,55,37,13,21,69,4,16,17
B2A03,398,286,7,134,139,23,40,253,15,11,23
B2A04,120,243,11,23,110,3,17,76,25,4,2
B2A05,127,166,1,23,16,3,6,32,5,3,5
B2A06,293,287,2,35,1335,11,50,295,22,2,23
B2A08,259,311,0,48,173,15,4,102,14,12,6
B2A09,331,255,1,29,334,11,29,61,7,5,7
B2A10,318,200,1,70,70,6,25,66,11,10,22
B2A12,279,160,1,26,128,14,20,53,4,14,4
B2A13,259,192,6,22,559,15,37,95,4,10,13
B2A14,387,208,3,46,136,5,61,152,3,11,27
B2A15,109,320,2,14,31,7,11,141,1,2,7
B2A16,311,229,0,21,213,5,21,115,6,14,18
B2A17,373,257,0,74,329,4,35,97,17,18,11
B2A18,411,142,3,63,157,2,18,79,3,14,31
B2A19,430,326,1,38,523,13,16,244,6,5,18
B2A20,321,418,0,55,1917,8,50,119,5,11,5
B2A21,256,324,6,141,299,8,209,150,32,8,34
B2A22,380,183,3,99,126,24,57,255,11,4,8
B3A01,174,131,4,22,40,5,13,7,4,23,4
B3A02,168,88,0,15,62,0,9,3,2,8,2
B3A03,297,125,0,28,61,0,11,43,1,6,9
B3A04,390,72,3,73,23,2,2,76,4,12,18
B3A05,326,191,1,71,53,5,21,95,13,10,5
B3A06,309,103,1,102,16,0,15,7,2,12,9
B3A07,254,221,8,15,44,8,22,139,20,8,10
B3A08,347,144,2,48,16,0,7,41,4,19,6
B3A09,239,106,2,79,25,0,4,31,2,9,6
B3A11,342,128,1,59,36,5,11,79,11,11,2
B3A12,166,230,3,11,32,14,9,71,20,11,14
B3A13,268,69,0,77,18,2,24,52,5,13,10
B3A14,316,160,3,180,72,25,35,283,28,6,63
B3A16,316,462,3,148,57,7,41,310,34,0,23
B3A17,205,272,4,15,21,0,5,47,6,8,4
B3A19,195,240,3,26,15,3,14,47,8,5,5
B3A20,304,291,6,52,159,11,39,189,81,11,26
B3A21,148,271,4,22,76,0,8,28,10,7,8
B3A22,390,306,3,114,90,10,77,88,46,13,5
B3A23,404,430,10,89,146,9,17,128,35,1,27
B3A24,238,398,3,185,22,14,19,184,29,7,32
B4A01,329,270,13,269,121,14,149,233,42,6,12
B4A02,356,123,0,246,189,0,27,109,11,23,25
B4A04,250,96,3,135,193,1,17,216,10,8,6
B4A06,289,88,3,59,61,0,17,125,5,4,2
B4A07,205,221,5,61,83,2,17,355,8,3,11
B4A08,253,131,5,81,144,2,32,72,6,12,6
B4A09,235,248,14,65,106,11,4,284,4,0,16
B4A10,269,121,3,68,135,1,20,227,1,6,10
B4A11,213,94,2,163,33,0,24,201,6,4,6
B4A12,197,106,2,32,13,1,12,46,2,4,3
B4A13,232,295,4,17,101,0,11,43,3,6,10
B4A14,296,172,3,85,383,2,28,109,0,2,2
B4A15,192,171,0,14,82,0,10,110,0,4,5
B4A16,226,136,2,52,33,3,14,164,0,7,3
B4A17,88,125,1,36,59,1,10,14,1,5,2
B4A18,308,90,2,183,77,6,55,132,2,13,5
B4A20,125,90,0,91,160,5,37,190,6,6,21
B4A21,189,184,7,38,98,19,26,250,3,4,30
B4A22,459,292,6,64,195,8,38,416,9,11,13
